Comment,Designator,Footprint,LCSC Part #
CL31A226KPHNNNE,"C3,C4",1206,C5672
AMS1117-2.85,U3,SOT-223,C14791
CL21A475KAQNNNE,"C7,C6,C12,C15,C16,C10",805,C1779
CL21B104KCFNNNE,"C1,C2,C5,C8,C14,C9,C11,C13",805,C28233
TF-06_MicroSD,SD2,MicroSD,C693844
SS14,D1,SMA,C2480
SN74CBTD3384PWR,"U2,U1",TSSOP-24,C7155
0402WGF1001TCE,"R42,R54,R16,R50,R17,R13,R45,R18,R47,R53,R15,R43,R49,R55,R12,R51,R19,R14,R52,R11,R44,R46,R48",402,C11702
RC0603FR-07110RL,"R39,R4,R33,R36,R5,R35,R1,R38,R9,R40,R3,R7,R8,R2,R10,R34,R37,R6",603,C141676
SN74LVT245BPWR_OR_C2652121,"U4,U9",TSSOP-20,C74214
0603WAF4701T5E,"R56,R31,R32,R41",603,C23162
0603WAF1001T5E,"R27,R24,R26,R23,R25,R29,R28",603,C21190
0402WGF4700TCE,R30,402,C25117
SN74LVTH125PWR,"U7,U5,U6",TSSOP-14,C7042
TS-1187A-B-A-B,SW1,button,C318884
BSMD0805-075-12V,F2,805,C883111
74HC14,U8,SOIC-14,C5605
Activity_LED,D2,603,C72041
Power_LED,D3,603,C2290
